,price,amenities,homestay_name,region,area
0,4599,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Smoking Allowed', 'Kitchen', 'TV', 'Wireless Internet', 'Phone (booth/lines)', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Room Heating', 'Elevator in Building', 'Hot water', 'Suitable for Events']",Rachith Aashiyana,north goa, umtav vado
1,9000,"['', 'Swimming Pool', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Hot water']",3 bedroom budget villa Candolim,north goa, candolim
3,13399,"['', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Hot water', 'Washer', 'Suitable for Events']",4BHK Villa In Assagao,north goa, assagao
4,3999,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water']",Landscape Sea Side Rooms,north goa, dona paula
5,3299,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",1 Bed Room Apartment 2,north goa, calangute
6,3299,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",1 Bed Room Apartment 1,north goa, calangute
7,3299,"['', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Bar / Restaurant', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Washer']",2 Bedroom Apartment,north goa, candolim
8,23104,"['', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Bar / Restaurant', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",8 Bedroom Guest House,north goa, vagator
9,3500,"['', 'Swimming Pool', 'Smoking Allowed', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",Waite 2BHK Apartment,south goa, colva
10,3500,"['', 'Swimming Pool', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",Coconut Groove,south goa, varca
11,2000,[],Lio’s Apartment,south goa, carmona
12,6999,"['', 'Swimming Pool', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",Earth 4BHK Villa, south goa,benaulim
13,1499,"['', 'Swimming Pool', 'TV', 'Kitchen', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Washer']",Westwinds 1BHK Apartment,south goa, benaulim
14,6000,"['', 'Swimming Pool', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Washer']",Aqua Marina 2BHK Row Villa,south goa, colva
15,3000,"['', 'Swimming Pool', 'Free Parking on Premises', 'TV', 'Kitchen', 'Wireless Internet', 'Air Conditioner', 'Bathroom attached']",Belle Vue Avenue 3BHK Villa,south goa, carmona
16,1500,"['', 'Free Parking on Premises', 'TV', 'Kitchen', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",1BHK Farm House In Agonda,south goa, agonda
17,5999,"['', 'Swimming Pool', 'Free Parking on Premises', 'TV', 'Kitchen', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Suitable for Events']",Costa Holidays 3 BHK Villa T3,south goa, varca
18,4499,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Suitable for Events']",Florida Gardens 3 BHK Apartment UG-4,south goa, colva
19,2499,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Washer']",Costa Holidays 2 BHK Apartment AT7,south goa, varca
20,2499,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Washer']",Costa Holidays 2 BHK Apartment AF4,south goa, varca
21,6000,"['', 'Swimming Pool', 'Free Parking on Premises', 'TV', 'Kitchen', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Washer']",Royal palms 1 BHK 1,south goa, benaulim
22,3500,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Lotus Hermitage 2 BHK Apartment 1,south goa, benaulim
23,3500,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Lotus Hermitage 2 BHK Apartment 2,south goa, benaulim
24,3200,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Sakina 2 BHK Apartment 3,south goa, colva
25,3200,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Pets Allowed', 'Bathroom attached']",Sakina 2 BHK Apartment 2,south goa, colva
26,3200,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Sakina 2 BHK Apartment 1,south goa, colva
27,2000,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Lotus Hermitage 1 BHK Apartment,south goa, benaulim
28,2799,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Sea Mist 2 BHK Apartment 4,south goa, colva
29,2799,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Sea Mist 2 BHK Apartment 2,south goa, colva
30,7500,"['', 'Swimming Pool', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Praman’s 2BHK Apartment,south goa, varca
31,2799,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Sea Mist 2 BHK Apartment 2,south goa, colva
32,6000,"['', 'Swimming Pool', 'Free Parking on Premises', 'TV', 'Kitchen', 'Wireless Internet', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",Jennifer 2 BHK Apartment,south goa, varca
33,2799,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Sea Mist 2 BHK Apartment 1,south goa, colva
34,1899,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Sea Mist 1 BHK Apartment 4,south goa, colva
35,1899,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Sea Mist 1 BHK Apartment 3,south goa, benaulim
36,1899,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Sea Mist 1 BHK Apartment 2,south goa, colva
37,1899,"['', 'Safe/Locker available', 'Swimming Pool', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Sea Mist 1 BHK Apartment 1,south goa, colva
38,12000,"['', 'Swimming Pool', 'Free Parking on Premises', 'TV', 'Kitchen', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",Florida 3 bedroom Bunglow,south goa, colva
39,9999,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",Florida Trevor 3 BHK Apartment,south goa, colva
40,1999,"['', 'Swimming Pool', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Washer']",Maynard Beach Palace 2BHK Apartment,south goa, benaulim
41,7999,"['', 'Swimming Pool', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water']",Prudential Pristine,south goa, colva
42,4000,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",West wind Periera 2BHK Apartment 2,south goa, benaulim
43,4000,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",West wind Periera 2BHK Apartment 1,south goa, benaulim
44,8000,"['', 'Swimming Pool', 'Free Parking on Premises', 'Kitchen', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",“Savio D’Silva 2BHK Apartment,south goa, colva
45,3250,"['', 'Free Parking on Premises', 'TV', 'Kitchen', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",C Pearl 1BHK Apartment,south goa, majorda
46,16250,"['', 'Swimming Pool', 'TV', 'Kitchen', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",Cliff Heaven 3BHK Villa,south goa, colva
47,10790,"['', 'Safe/Locker available', 'Swimming Pool', 'Free Parking on Premises', 'Kitchen', 'TV', 'Family/Kid Friendly', 'Bathroom attached']",Cliff Heaven 2BHK Apartment,south goa, colva
48,1560,"['', 'Safe/Locker available', 'Free Parking on Premises', 'TV', 'Kitchen', 'Wireless Internet', 'Family/Kid Friendly', 'Bathroom attached']",Peter Paradise 1BHK Non A/C,south goa, benaulim
49,5850,"['', 'Safe/Locker available', 'Free Parking on Premises', 'TV', 'Kitchen', 'Air Conditioner', 'Bathroom attached']",Cliff Heaven 1BHK Apartment,south goa, colva
50,2860,[],Peter Paradise 1BHK A/C,south goa, benaulim
51,1820,"['', 'TV', 'Kitchen', 'Air Conditioner', 'Bathroom attached']",Celebrity Kingdom Studio Apartment,south goa, colva
52,3250,"['', 'TV', 'Kitchen', 'Air Conditioner', 'Bathroom attached', 'Hot water']",Celebrity Kingdom 1BHK Apartment,south goa, colva
53,2500,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Suitable for Events']",Mistral Holidays Studio Apartment,south goa, benaulim
54,2500,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Suitable for Events']",Mistral Holidays 1BHK Apartment,south goa, benaulim
55,1500,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Washer']",Golden Sands 1BHK Apartment T5,south goa, benaulim
56,1500,"['', 'Swimming Pool', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Air Conditioner', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Washer', 'Suitable for Events']",Golden Sands 1BHK Apartment T4,south goa, benaulim
57,1500,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Washer', 'Suitable for Events']",Golden Sands 1BHK Apartment T3,south goa, benaulim
58,12500,"['', 'Safe/Locker available', 'Swimming Pool', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",CD Zen Garden Golden Aurao 3BHK Villa,south goa, benaulim
59,2990,"['', 'Free Parking on Premises', 'Kitchen', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Washer', 'Suitable for Events']",Ros Super Deluxe,south goa, benaulim
60,2470,"['', 'Free Parking on Premises', 'TV', 'Kitchen', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Suitable for Events']",Ros Deluxe Room,south goa, benaulim
61,2210,"['', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Suitable for Events']",Ros Standard Rooom,south goa, benaulim
62,12000,"['', 'Safe/Locker available', 'Swimming Pool', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached']",CD Zen Garden 3BHK Villa,south goa, benaulim
63,2800,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water']",Vaz Residency,south goa, benaulim
64,1500,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water']",Golden Sands 1 BHK Apartment T2,south goa, benaulim
65,5499,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Washer', 'Suitable for Events']",Florida Gardens 4 BHK Villa,south goa, benaulim
66,7000,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Washer', 'Suitable for Events']",Benaulim House 6 BHK Villa,south goa,
67,2499,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Washer']",Costa Holidays 2 BHK Apartment AF3,south goa, varca
68,3600,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",Costa Holidays 3 BHK Villa D7,south goa, varca
69,3600,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Suitable for Events']",Costa Holidays 3 BHK Villa D9,south goa, varca
70,6000,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Suitable for Events']",Serenity 4 BHK Villa C18,south goa, varca
71,9000,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water']",Serenity 3 BHK Villa C6,south goa, varca
72,9000,"['', 'Safe/Locker available', 'Swimming Pool', 'Essentials', 'Free Parking on Premises', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Suitable for Events']",Serenity 3 BHK Villa C5,south goa, varca
73,6500,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water']",Serenity 2 BHK Apartment D7,south goa, varca
74,6500,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water']",Serenity 2 BHK Apartment D5,south goa, varca
75,6500,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Suitable for Events']",Serenity 2 BHK Apartment D4,south goa, varca
76,2999,"['', 'Safe/Locker available', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Hot water', 'Suitable for Events']",Costa Holidays 3 BHK Villa C4,south goa, varca
77,6500,"['', 'Swimming Pool', 'Free Parking on Premises', 'Essentials', 'Kitchen', 'TV', 'Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Elevator in Building', 'Hot water', 'Suitable for Events']",Serenity 2 BHK Apartment D3,south goa, varca
